Group num: 0, TC(X;Y_j): 12.091
trudel, 0.018, 1.000, 0.018
appoint, 0.018, 1.000, 0.018
arbitrary, 0.018, 1.000, 0.018
ultimate, 0.018, 1.000, 0.018
assault, 0.018, 1.000, 0.018
vecchio, 0.018, 1.000, 0.018
unequal, 0.018, 1.000, 0.018
availability, 0.018, 1.000, 0.018
upgrading, 0.018, 1.000, 0.018
automatically, 0.018, 1.000, 0.018
aubin, 0.018, 1.000, 0.018
blaney, 0.018, 1.000, 0.018
advisory, 0.018, 1.000, 0.018
weaken, 0.018, 1.000, 0.018
thoughtful, 0.018, 1.000, 0.018
theory, 0.018, 1.000, 0.018
bégin, 0.018, 1.000, 0.018
act, 0.018, 1.000, 0.018
accommodate, 0.018, 1.000, 0.018
york, 0.018, 1.000, 0.018
acknowledges, 0.018, 1.000, 0.018
precisely, 0.014, 1.000, 0.014
align, 0.010, 1.000, 0.010
repeated, 0.010, 1.000, 0.010
discovered, 0.010, 1.000, 0.010
competitiveness, 0.010, 1.000, 0.010
incompetence, 0.010, 1.000, 0.010
investigated, 0.010, 1.000, 0.010
honest, 0.010, 1.000, 0.010
fell, 0.010, 1.000, 0.010
polish, 0.008, 1.000, 0.008
voodoo, 0.008, 1.000, 0.008
voiced, 0.008, 1.000, 0.008
parties, 0.008, 1.000, 0.008
vitally, 0.008, 1.000, 0.008
polycultural, 0.008, 1.000, 0.008
pomp, 0.008, 1.000, 0.008
violate, 0.008, 1.000, 0.008
washroom, 0.008, 1.000, 0.008
ville, 0.008, 1.000, 0.008
participant, 0.008, 1.000, 0.008
portray, 0.008, 1.000, 0.008
portugal, 0.008, 1.000, 0.008
patience, 0.008, 1.000, 0.008
posting, 0.008, 1.000, 0.008
powerfully, 0.008, 1.000, 0.008
ppcs, 0.008, 1.000, 0.008
preamble, 0.008, 1.000, 0.008
waterloo, 0.008, 1.000, 0.008
vietnamese, 0.008, 1.000, 0.008
viersen, 0.008, 1.000, 0.008
predicated, 0.008, 1.000, 0.008
predictability, 0.008, 1.000, 0.008
premise, 0.008, 1.000, 0.008
mailed, 0.008, 1.000, 0.008
veto, 0.008, 1.000, 0.008
policeman, 0.008, 1.000, 0.008
partial, 0.008, 1.000, 0.008
partners, 0.008, 1.000, 0.008
poilievre, 0.008, 1.000, 0.008
patted, 0.008, 1.000, 0.008
pause, 0.008, 1.000, 0.008
payout, 0.008, 1.000, 0.008
pedalling, 0.008, 1.000, 0.008
persevered, 0.008, 1.000, 0.008
mali, 0.008, 1.000, 0.008
warkentin, 0.008, 1.000, 0.008
passports, 0.008, 1.000, 0.008
phil, 0.008, 1.000, 0.008
philosophical, 0.008, 1.000, 0.008
yamachiche, 0.008, 1.000, 0.008
photography, 0.008, 1.000, 0.008
walter, 0.008, 1.000, 0.008
picturesque, 0.008, 1.000, 0.008
waived, 0.008, 1.000, 0.008
passive, 0.008, 1.000, 0.008
pitting, 0.008, 1.000, 0.008
passerelle, 0.008, 1.000, 0.008
plated, 0.008, 1.000, 0.008
plausible, 0.008, 1.000, 0.008
presenter, 0.008, 1.000, 0.008
wagantall, 0.008, 1.000, 0.008
player, 0.008, 1.000, 0.008
plea, 0.008, 1.000, 0.008
wach, 0.008, 1.000, 0.008
poking, 0.008, 1.000, 0.008
measures, 0.008, 1.000, 0.008
vertical, 0.008, 1.000, 0.008
prevailed, 0.008, 1.000, 0.008
purport, 0.008, 1.000, 0.008
puzzling, 0.008, 1.000, 0.008
pyrrhotite, 0.008, 1.000, 0.008
quadrupled, 0.008, 1.000, 0.008
qualicum, 0.008, 1.000, 0.008
quantified, 0.008, 1.000, 0.008
use, 0.008, 1.000, 0.008
questioned, 0.008, 1.000, 0.008
upward, 0.008, 1.000, 0.008
qui, 0.008, 1.000, 0.008
quibble, 0.008, 1.000, 0.008
quotidien, 0.008, 1.000, 0.008
racial, 0.008, 1.000, 0.008
radicalization, 0.008, 1.000, 0.008
uprising, 0.008, 1.000, 0.008
ramsey, 0.008, 1.000, 0.008
ranch, 0.008, 1.000, 0.008
ranking, 0.008, 1.000, 0.008
rarely, 0.008, 1.000, 0.008
macroeconomics, 0.008, 1.000, 0.008
rating, 0.008, 1.000, 0.008
youtube, 0.008, 1.000, 0.008
rdsp, 0.008, 1.000, 0.008
reacted, 0.008, 1.000, 0.008
zamboni, 0.008, 1.000, 0.008
reactionary, 0.008, 1.000, 0.008
reaffirms, 0.008, 1.000, 0.008
reallocated, 0.008, 1.000, 0.008
reallocation, 0.008, 1.000, 0.008
utilized, 0.008, 1.000, 0.008
preston, 0.008, 1.000, 0.008
publishing, 0.008, 1.000, 0.008
prudent, 0.008, 1.000, 0.008
parliamentarians, 0.008, 1.000, 0.008
version, 0.008, 1.000, 0.008
principled, 0.008, 1.000, 0.008
print, 0.008, 1.000, 0.008
printed, 0.008, 1.000, 0.008
prioritizing, 0.008, 1.000, 0.008
yard, 0.008, 1.000, 0.008
proceedings, 0.008, 1.000, 0.008
processors, 0.008, 1.000, 0.008
proficiency, 0.008, 1.000, 0.008
verafin, 0.008, 1.000, 0.008
progressivity, 0.008, 1.000, 0.008
velvet, 0.008, 1.000, 0.008
vein, 0.008, 1.000, 0.008
prolongation, 0.008, 1.000, 0.008
yes, 0.008, 1.000, 0.008
